Name,Price
Schönes Zimmer in der Nähe von HSG,71 CHF
gemütliches Studio im EG, im Appenzellerland,72 CHF
winzige Wohnung,118 CHF
Histor. grossbürgerl. Wohnhaus, ruhige Lage,55 CHF
Zimmer sehr zentral in Jugendstilwohnung,79 CHF
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,88 CHF
heimelige Wohnung in Goldach,95 CHF
Schönes Einzelzimmer, zentral,35 CHF
gemütliches Zimmer mit Privatsphäre,45 CHF
Schöne 2 1/2 Zimmer Dachwohnung,139 CHF
Charmante Wohnung im Zentrum von Goldach,101 CHF
In der Natur auftanken,45 CHF
Ferienwohnung Rotenwies,169 CHF
Dein Zuhause in Herisau,184 CHF
Birkenhof, Haus Märli,587 CHF
Sönd willkomm z 'Herisau! Zentral, neu, stillvoll,110 CHF
Leimathof Attica,264 CHF
Gemütliche Wohnung über einer Bäckerei,77 CHF
Ferienwohnung Rietbach,106 CHF
Haus zur Quelle,91 CHF
Grosszügige Garten-Wohnung,210 CHF
Zwei helle Zimmer, Küche und Bad,104 CHF
Herisau, Zuhause mittendrin und trotzdem ruhig,58 CHF
Gemütliches kleines Häuschen mit Kamin und Garten,194 CHF
spezielle Wohnung in Goldach,99 CHF
Bauernhaus mit Bildhauer Ambiente,113 CHF
Nah an der Natur und ÖV vor der Tür (mit Ticket),75 CHF
Gartenstudio in Appenzellerhaus,80 CHF
Moderne, helle Ferienwohnung mit gratis Parkplatz,119 CHF
Kleines, cooles Loft im schönen Appenzellerland,138 CHF

Möbliertes Studio mit Garten W5,61 CHF
Gemütliche Wohnung im Zentrum von St. Gallen,78 CHF
Charmante Altbauwohnung ruhig und doch zentral,93 CHF
Zur Geduld (direkt am Bahnhof),69 CHF
Poliba St.Gallen-3 1/2 zimmer wohnung,47 CHF
Gemütliche Wohnung,70 CHF
Zeit,64 CHF
Charmante Ferienwohnung 2 Zimmer W43,78 CHF
Schönes Zimmer in der Nähe von HSG,64 CHF
Gemütliche Altbauwohnung im Zentrum,95 CHF
Eigene Studiowohnung mit Küche,72 CHF
Einzigartige schöne Altbau- Wohnung im Zentrum,116 CHF
Studio mit Panoramaaussicht,58 CHF
Studio mit Charme und Aussicht,58 CHF
Das Haus mit dem Schwein,54 CHF
Olma / Stadtzentrum / Cosy,126 CHF
Helle Wohnung über St.Gallen,100 CHF
Schöne 2 1/2 Zimmer Dachwohnung,99 CHF
heimelige Wohnung in Goldach,67 CHF
gemütliches Studio im EG, im Appenzellerland,60 CHF
Dein Zuhause in Herisau,104 CHF
gemütliches Zimmer mit Privatsphäre,43 CHF
Ganze Wohnung mitten in der Altstadt von Arbon,61 CHF
Histor. grossbürgerl. Wohnhaus, ruhige Lage,54 CHF
2. Charmante Wohnung in Seenähe,66 CHF
Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus,84 CHF
Säntis Park/Freies Parken/Netflix,74 CHF
Charmante Wohnung im Zentrum von Goldach,70 CHF
Gemütliche Wohnung über einer Bäckerei,65 CHF
"Leben wie die Locals"" mitten im Zentrum"",86 CHF"